game_id,game_number,game_code,date,start_time,venue,home_team,away_team,home_ioc,away_ioc,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,status,round,group,tournament,scraped_at,home_innings,away_innings,scorers,technical_commissioners
173474,47,Z01,2025-07-24,2025-07-24 14:30:00,"Campus Arrosadia UPNA, Navarra",Netherlands,Ukraine,NED,UKR,9,1,8,7,0,1,F,0,0,,2025-07-25T20:41:54.614378,"4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173472,45,E01,2025-07-24,2025-07-24 16:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Austria,Israel,AUT,ISR,6,5,8,11,1,1,F,0,0,,2025-07-25T20:41:54.614388,"1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173475,48,F11,2025-07-24,2025-07-24 17:00:00,Campo de Béisbol de Irabia,Türkiye,Sweden,TUR,SWE,7,6,14,7,3,3,F,0,0,,2025-07-25T20:41:54.614397,"0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173477,50,F12,2025-07-24,2025-07-24 17:00:00,"Campus Arrosadia UPNA, Navarra",Belgium,Hungary,BEL,HUN,6,1,7,4,0,3,F,0,0,,2025-07-25T20:41:54.614407,"0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173476,49,E03,2025-07-24,2025-07-24 18:30:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Germany,Israel,GER,ISR,15,8,12,10,2,2,F,0,0,,2025-07-25T20:41:54.614416,"0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173478,51,Z03,2025-07-24,2025-07-24 19:30:00,"Campus Arrosadia UPNA, Navarra",Czechia,Italy,CZE,ITA,10,9,11,11,0,2,F,0,0,,2025-07-25T20:41:54.614426,"0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173479,52,Z02,2025-07-24,2025-07-24 19:30:00,Campo de Béisbol de Irabia,Ireland,Spain,IRL,ESP,10,5,12,9,1,3,F,0,0,,2025-07-25T20:41:54.614435,"2,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173481,54,E05,2025-07-25,2025-07-25 10:00:00,Campo de Béisbol de Irabia,Great Britain,Austria,GBR,AUT,6,1,10,4,1,1,F,0,0,,2025-07-25T20:41:54.614445,"3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173482,55,Z04,2025-07-25,2025-07-25 11:00:00,"Campus Arrosadia UPNA, Navarra",Italy,Netherlands,ITA,NED,7,5,13,12,3,1,F,0,0,,2025-07-25T20:41:54.614454,"1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173483,56,Z05,2025-07-25,2025-07-25 13:30:00,"Campus Arrosadia UPNA, Navarra",Czechia,Ukraine,CZE,UKR,10,0,10,2,0,2,F,0,0,,2025-07-25T20:41:54.614464,"2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173484,57,E06,2025-07-25,2025-07-25 13:30:00,Campo de Béisbol de Irabia,Germany,Great Britain,GER,GBR,2,11,2,9,4,2,F,0,0,,2025-07-25T20:41:54.614473,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173480,53,E04,2025-07-25,2025-07-25 16:00:00,Campo Municipal de Béisbol y Sófbol Miralbueno,Israel,France,ISR,FRA,0,17,0,14,5,0,F,0,0,,2025-07-25T20:41:54.614484,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173485,58,Z06,2025-07-25,2025-07-25 16:00:00,"Campus Arrosadia UPNA, Navarra",Italy,Spain,ITA,ESP,9,0,12,3,0,1,F,0,0,,2025-07-25T20:41:54.614494,"1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173487,59,Z07,2025-07-25,2025-07-25 16:00:00,Campo de Béisbol de Irabia,Ireland,Netherlands,IRL,NED,14,0,11,3,1,2,F,0,0,,2025-07-25T20:41:54.614504,"13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173488,60,Z08,2025-07-25,2025-07-25 19:30:00,"Campus Arrosadia UPNA, Navarra",Spain,Ukraine,ESP,UKR,0,1,3,6,0,1,B5,0,0,,2025-07-25T20:41:54.614513,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173489,61,Z09,2025-07-25,2025-07-25 19:30:00,Campo de Béisbol de Irabia,Czechia,Ireland,CZE,IRL,3,2,5,5,0,0,B4,0,0,,2025-07-25T20:41:54.614523,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173490,62,Bronze,2025-07-26,2025-07-26 11:00:00,"Campus Arrosadia UPNA, Navarra",Z3,Z4,,,0,0,0,0,0,0,,0,0,,2025-07-25T20:41:54.614534,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
173491,63,Gold,2025-07-26,2025-07-26 18:00:00,"Campus Arrosadia UPNA, Navarra",Z1,Z2,,,0,0,0,0,0,0,,0,0,,2025-07-25T20:41:54.614543,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
